Wall time,Step,Value
1681325339.0781,768,-0.05969050154089928
1681325341.934507,2432,-0.00647622998803854
1681325343.2477708,3200,-0.013904820196330547
1681325346.754134,5248,0.058845240622758865
1681325347.211283,5504,0.06311903893947601
1681325347.85668,5888,0.057607121765613556
1681325349.592583,6912,0.045999959111213684
1681325350.242928,7296,0.05335709825158119
1681325353.498771,9216,0.11211901158094406
1681325354.138345,9600,0.12928567826747894
1681325358.454227,12160,0.11527378857135773
1681325360.178028,13184,0.1465356945991516
1681325361.0616908,13696,0.17039282619953156
1681325365.372969,16256,0.15957143902778625
1681325368.1715698,17920,0.10613095015287399
1681325371.63282,19968,0.1615118682384491
1681325372.283705,20352,0.1792856603860855
1681325374.23562,21504,0.13521422445774078
1681325376.607264,22912,0.12542857229709625
1681325377.6766698,23552,0.1782619059085846
1681325378.1067379,23808,0.19179761409759521
1681325378.329052,23936,0.20014286041259766
1681325379.1984,24448,0.2258095145225525
1681325382.897399,26624,0.36314281821250916
1681325386.402573,28672,0.45696431398391724
1681325387.7395022,29440,0.4472738206386566
1681325388.894838,30080,0.42408332228660583
1681325392.1871371,32000,0.485059529542923
1681325393.511764,32768,0.5139523148536682
1681325394.610837,33408,0.5030832886695862
1681325396.146782,34304,0.5329524278640747
1681325397.010067,34816,0.5145357251167297
1681325397.4557061,35072,0.5117856860160828
1681325401.6968331,37504,0.5555833578109741
1681325405.189599,39552,0.6115238070487976
1681325405.622124,39808,0.6010000109672546
1681325407.378388,40832,0.5847500562667847
1681325410.0115771,42368,0.5965952277183533
1681325411.97734,43520,0.5791547298431396
1681325413.711361,44544,0.5931309461593628
1681325417.199382,46592,0.5955119132995605
1681325418.077513,47104,0.6016072034835815
1681325430.658376,54016,0.5984286069869995
1681325430.878758,54144,0.5857381224632263
1681325434.619199,56320,0.6611548066139221
1681325435.2928278,56704,0.6482381224632263
1681325435.957515,57088,0.6425595283508301
1681325439.3287108,59008,0.6087976694107056
1681325439.9941561,59392,0.615940511226654
1681325440.215093,59520,0.6087738275527954
1681325442.393224,60800,0.6325833797454834
1681325446.167737,62976,0.6457738876342773
1681325446.610455,63232,0.6398690938949585
1681325451.235979,65920,0.6232500672340393
1681325451.903441,66304,0.6289048194885254
1681325455.0174022,68096,0.6647738218307495
1681325456.187444,68736,0.69092857837677
1681325458.606545,70144,0.6565238833427429
1681325460.809524,71424,0.6605476140975952
1681325462.1801012,72192,0.662928581237793
1681325464.429951,73472,0.6256190538406372
1681325465.766146,74240,0.6460357308387756
1681325466.201261,74496,0.6535357236862183
1681325467.294622,75136,0.637416660785675
1681325467.519132,75264,0.6306190490722656
1681325470.871757,77184,0.6351309418678284
1681325474.829674,79488,0.6199643015861511
1681325475.269644,79744,0.6300238370895386
1681325477.905302,81280,0.6473453044891357
1681325479.46551,82176,0.6671071648597717
1681325479.682944,82304,0.6700237989425659
1681325480.120755,82560,0.6812381148338318
1681325480.782902,82944,0.678345263004303
1681325481.223178,83200,0.6808452606201172
1681325483.884908,84736,0.6357500553131104
1681325486.129772,86016,0.6612262725830078
1681325488.914065,87552,0.619785726070404
1681325490.044228,88192,0.6522857546806335
1681325495.897304,91520,0.6916190385818481
1681325496.827989,92032,0.6572142839431763
1681325497.7133849,92544,0.6440237760543823
1681325497.9302652,92672,0.6325595378875732
1681325499.466607,93568,0.6321786046028137
1681325501.477674,94720,0.6553809642791748
1681325502.366152,95232,0.6262500286102295
1681325503.254286,95744,0.6471190452575684
1681325504.383766,96384,0.6529405117034912
1681325505.284611,96896,0.681940495967865
1681325507.27825,98048,0.6786666512489319
1681325508.180255,98560,0.6813214421272278
1681325508.6323462,98816,0.6737738251686096
1681325509.1046,99072,0.6675357222557068
1681325510.718254,99968,0.6541071534156799
1681325511.8491578,100608,0.6345714330673218
1681325512.2953532,100864,0.6573452949523926
1681325513.409746,101504,0.6437023878097534
1681325513.8577201,101760,0.6447023749351501
1681325514.756821,102272,0.6451904773712158
1681325515.646226,102784,0.6206905245780945
1681325516.9657888,103552,0.6564167141914368
1681325517.1924758,103680,0.6520357728004456
1681325522.315176,106624,0.6470118761062622
1681325523.20837,107136,0.6495476365089417
1681325530.58925,111360,0.6386072039604187
1681325531.6889532,112000,0.6258571743965149
1681325532.130472,112256,0.6256785988807678
1681325533.4524758,113024,0.6273095607757568
1681325536.55569,114816,0.6596428751945496
1681325537.458768,115328,0.6303929090499878
1681325539.0497751,116224,0.6663095355033875
1681325539.493762,116480,0.6527261734008789
1681325540.7983282,117248,0.6821666955947876
1681325541.2369401,117504,0.6838929057121277
1681325544.362863,119296,0.6410357356071472
1681325544.593,119424,0.6372261643409729
1681325546.8608131,120704,0.6472381353378296
1681325547.528969,121088,0.6520476341247559
1681325549.5597482,122240,0.6565476059913635
1681325550.4313211,122752,0.6376785635948181
1681325551.344588,123264,0.6266785860061646
1681325553.349403,124416,0.6360357999801636
1681325553.5779462,124544,0.6505119800567627
1681325554.898685,125312,0.6626310348510742
1681325555.12036,125440,0.6478214859962463
1681325556.236855,126080,0.6368452906608582
1681325558.913832,127616,0.6587976813316345
1681325560.262871,128384,0.6781072020530701
1681325560.929307,128768,0.6861071586608887
1681325562.9662762,129920,0.6279881000518799
1681325565.4031732,131328,0.6583690643310547
1681325569.629127,133760,0.6559166312217712
1681325572.507253,135424,0.6404523849487305
1681325573.8327,136192,0.6654285788536072
1681325574.4864142,136576,0.6592857837677002
1681325574.9202938,136832,0.6590238809585571
1681325575.821328,137344,0.6834167242050171
1681325577.1484349,138112,0.6482738256454468
1681325578.2539892,138752,0.6330714225769043
1681325580.465041,140032,0.6379881501197815
1681325581.7905338,140800,0.6266428828239441
1681325582.6702101,141312,0.6155238151550293
1681325582.891993,141440,0.626880943775177
1681325585.1921139,142720,0.6629523634910583
1681325586.298809,143360,0.6803452372550964
1681325594.524779,148096,0.6586190462112427
1681325595.41139,148608,0.6139047741889954
1681325595.6312718,148736,0.62842857837677
1681325595.848948,148864,0.6101905107498169
1681325599.813948,151168,0.6939167380332947
1681325602.533168,152704,0.6955952644348145
1681325602.751644,152832,0.6812738180160522
1681325604.084478,153600,0.6845833659172058
1681325605.630094,154496,0.6957500576972961
1681325611.4302459,157824,0.7041547894477844
1681325611.867399,158080,0.6907857656478882
1681325614.089636,159360,0.6718809604644775
1681325616.551789,160768,0.6558214426040649
1681325617.205836,161152,0.6703571677207947
1681325617.865677,161536,0.6559286117553711
1681325622.245701,164096,0.6250357031822205
1681325623.562349,164864,0.6118452548980713
1681325625.112992,165760,0.5925000309944153
1681325626.428298,166528,0.6021190285682678
1681325628.601664,167808,0.604202389717102
1681325629.9341838,168576,0.636654794216156
1681325630.607011,168960,0.6349642872810364
1681325633.026409,170368,0.6583095192909241
1681325633.686072,170752,0.6609048247337341
1681325634.369132,171136,0.6836071610450745
1681325634.5906188,171264,0.6763452887535095
1681325645.3174741,177408,0.600714385509491
1681325645.9809332,177792,0.6110000610351562
1681325646.645717,178176,0.6270595788955688
1681325646.889098,178304,0.626130998134613
1681325651.7882571,181120,0.6462143063545227
1681325654.433978,182656,0.6973928809165955
